candidate_id,image_url,local_path,hard_prefilter_keep,hard_reject_reason,ml_score,ml_pred,final_keep
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000026,https://eda.rambler.ru/images/Article/320x320/kak-zamarinovat-kurinyy-shashlyk_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000026_9b050a2103.jpg,True,,0.5127052656835598,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000027,https://eda.rambler.ru/images/Article/320x320/kakie-produkty-gotovit-v-mae_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000027_6bbac46cf5.jpg,True,,0.49268016237134427,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000028,https://eda.rambler.ru/images/Article/320x320/prostye-i-bystrye-marinady-dlya-ryby-na-mangale_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000028_8a281076c6.jpg,True,,0.5384516282662182,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000029,https://eda.rambler.ru/images/Article/320x320/kakie-ugli-vybrat-dlya-mangala_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000029_97f70e14cd.jpg,True,,0.5034174337144518,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000030,https://eda.rambler.ru/images/Article/320x320/7-marinadov-dlya-shashlyka-iz-svininy_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000030_84378e4cdb.jpg,True,,0.5190803622595551,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000033,https://eda.rambler.ru/images/Article/320x320/kak-dobitsya-ot-obychnoy-plity-effekta-mangala_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000033_360a347767.jpg,True,,0.5361212429378901,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000034,https://eda.rambler.ru/images/Article/320x320/sem-receptov-so-sparzhey_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000034_903ce96ed4.jpg,True,,0.4963574282535334,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000036,https://eda.rambler.ru/images/Article/320x320/syrniki-iz-tvoroga-pyshnye-bez-muki-v-duhovke_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000036_aedc95a0fc.jpg,True,,0.5270625450241876,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000037,https://eda.rambler.ru/images/Article/320x320/shashlyk-iz-indeyki-legkaya-alternativa-svinine_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000037_3f4c2af5c5.jpg,True,,0.5293398216458962,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000038,https://eda.rambler.ru/images/Article/320x320/panini-s-mocarelloy-i-pesto-italyanskiy-perekus_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000038_05b4cb0e42.jpg,True,,0.5260831434759048,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000039,https://eda.rambler.ru/images/Article/320x320/sharlotka-s-yablokami-bystrye-recepty_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000039_ff5ee21d28.jpg,True,,0.5055079049729582,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000040,https://eda.rambler.ru/images/Article/320x320/varene-iz-klubniki-klassika-i-pyatiminutka_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000040_25892bb231.jpg,True,,0.5216640501264334,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000041,https://eda.rambler.ru/images/Article/320x320/fokachcha-s-rozmarinom-italyanskiy-hleb-za-chas_square.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000041_8989ec222a.jpg,True,,0.5280816875189528,1,True
eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000046,https://eda.rambler.ru/images/Article/1500x804/chto-prigotovit-s-cheremshoy.jpg,data\raw\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy\eda.rambler.ru_media_recepty_chto-prigotovit-s-cheremshoy_cand_000046_8572d60040.jpg,True,,0.9957297627541277,1,True
