split,precision,recall,f1,accuracy,tp,fp,fn,tn,n,mean_proba,median_proba,proba_p90
train,0.8465346534653465,0.75,0.7953488372093024,0.782716049382716,171,31,57,146,405,0.5194613822345889,0.48954685291311745,0.9232184636540245
val,0.8076923076923077,0.7368421052631579,0.7706422018348624,0.7706422018348624,42,10,15,42,109,0.551148780000285,0.4800224421048271,0.946621471637961
test,0.8433734939759037,0.9090909090909091,0.8750000000000001,0.8529411764705882,70,13,7,46,136,0.5792869917890606,0.5554223849978606,0.9393094455975257
