precision,recall,f1,accuracy,tp,fp,fn,tn,n,threshold
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.01
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.02
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.03
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.04
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.05
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.06
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.07
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.08
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.09
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.1
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.11
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.12
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.13
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.14
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.15
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.16
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.17
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.18
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.19
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.2
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.21
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.22
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.23
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.24
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.25
0.5377358490566038,1.0,0.6993865030674846,0.5504587155963303,57,49,0,3,109,0.26
0.5428571428571428,1.0,0.7037037037037037,0.5596330275229358,57,48,0,4,109,0.27
0.5428571428571428,1.0,0.7037037037037037,0.5596330275229358,57,48,0,4,109,0.28
0.5428571428571428,1.0,0.7037037037037037,0.5596330275229358,57,48,0,4,109,0.29
0.5480769230769231,1.0,0.7080745341614907,0.5688073394495413,57,47,0,5,109,0.3
0.5533980582524272,1.0,0.7125,0.5779816513761468,57,46,0,6,109,0.31
0.5588235294117647,1.0,0.7169811320754718,0.5871559633027523,57,45,0,7,109,0.32
0.5643564356435643,1.0,0.7215189873417721,0.5963302752293578,57,44,0,8,109,0.33
0.574468085106383,0.9473684210526315,0.7152317880794701,0.6055045871559633,54,40,3,12,109,0.34
0.6,0.8947368421052632,0.7183098591549296,0.6330275229357798,51,34,6,18,109,0.35
0.6153846153846154,0.8421052631578947,0.7111111111111111,0.6422018348623854,48,30,9,22,109,0.36
0.6153846153846154,0.8421052631578947,0.7111111111111111,0.6422018348623854,48,30,9,22,109,0.37
0.6153846153846154,0.8421052631578947,0.7111111111111111,0.6422018348623854,48,30,9,22,109,0.38
0.618421052631579,0.8245614035087719,0.7067669172932332,0.6422018348623854,47,29,10,23,109,0.39
0.6351351351351351,0.8245614035087719,0.7175572519083969,0.6605504587155964,47,27,10,25,109,0.4
0.6351351351351351,0.8245614035087719,0.7175572519083969,0.6605504587155964,47,27,10,25,109,0.41
0.6351351351351351,0.8245614035087719,0.7175572519083969,0.6605504587155964,47,27,10,25,109,0.42
0.6571428571428571,0.8070175438596491,0.7244094488188977,0.6788990825688074,46,24,11,28,109,0.43
0.6923076923076923,0.7894736842105263,0.7377049180327868,0.7064220183486238,45,20,12,32,109,0.44
0.703125,0.7894736842105263,0.743801652892562,0.7155963302752294,45,19,12,33,109,0.45
0.7213114754098361,0.7719298245614035,0.7457627118644067,0.7247706422018348,44,17,13,35,109,0.46
0.7719298245614035,0.7719298245614035,0.7719298245614035,0.7614678899082569,44,13,13,39,109,0.47
0.7818181818181819,0.7543859649122807,0.7678571428571429,0.7614678899082569,43,12,14,40,109,0.48
0.8076923076923077,0.7368421052631579,0.7706422018348624,0.7706422018348624,42,10,15,42,109,0.49
0.82,0.7192982456140351,0.7663551401869159,0.7706422018348624,41,9,16,43,109,0.5
0.8333333333333334,0.7017543859649122,0.7619047619047619,0.7706422018348624,40,8,17,44,109,0.51
0.8297872340425532,0.6842105263157895,0.7499999999999999,0.7614678899082569,39,8,18,44,109,0.52
0.8260869565217391,0.6666666666666666,0.7378640776699029,0.7522935779816514,38,8,19,44,109,0.53
0.8260869565217391,0.6666666666666666,0.7378640776699029,0.7522935779816514,38,8,19,44,109,0.54
0.8444444444444444,0.6666666666666666,0.7450980392156862,0.7614678899082569,38,7,19,45,109,0.55
0.8409090909090909,0.6491228070175439,0.7326732673267327,0.7522935779816514,37,7,20,45,109,0.56
0.8372093023255814,0.631578947368421,0.72,0.7431192660550459,36,7,21,45,109,0.57
0.8292682926829268,0.5964912280701754,0.6938775510204082,0.7247706422018348,34,7,23,45,109,0.58
0.8157894736842105,0.543859649122807,0.6526315789473685,0.6972477064220184,31,7,26,45,109,0.59
0.8055555555555556,0.5087719298245614,0.6236559139784946,0.6788990825688074,29,7,28,45,109,0.6
0.8055555555555556,0.5087719298245614,0.6236559139784946,0.6788990825688074,29,7,28,45,109,0.61
0.8,0.49122807017543857,0.6086956521739131,0.6697247706422018,28,7,29,45,109,0.62
0.7941176470588235,0.47368421052631576,0.5934065934065933,0.6605504587155964,27,7,30,45,109,0.63
0.9310344827586207,0.47368421052631576,0.627906976744186,0.7064220183486238,27,2,30,50,109,0.64
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.65
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.66
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.67
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.68
0.9642857142857143,0.47368421052631576,0.6352941176470588,0.7155963302752294,27,1,30,51,109,0.69
